resume_text,job_category
"Experienced Python developer with 3 years of experience in Django Flask REST API development. Proficient in Python pandas numpy scikit-learn machine learning data analysis. Built web applications using PostgreSQL MySQL databases. Experience with Git Docker AWS deployment. Strong knowledge of OOP data structures algorithms.",Python Developer
"Python backend developer skilled in Flask Django FastAPI. Worked on REST APIs microservices architecture. Used PostgreSQL Redis celery for task queues. Knowledge of Docker Kubernetes CI/CD pipelines. Experience with unit testing pytest. Familiar with AWS Lambda S3 EC2.",Python Developer
"Software engineer with expertise in Python. Built data pipelines using pandas numpy. Experience in web scraping automation using BeautifulSoup Selenium. Developed REST APIs with Flask. Used MySQL SQLite databases. Knowledge of Git version control agile scrum methodology.",Python Developer
"Python developer with experience in Django ORM models views templates. Built RESTful APIs consumed by React frontend. Used Celery Redis for background tasks. PostgreSQL database design. Docker containerization. Unit testing with pytest coverage.",Python Developer
"Backend Python engineer. Experience building scalable APIs with FastAPI Django. Database design with PostgreSQL. Redis caching. Message queues with RabbitMQ. Deployed on AWS EC2 with nginx gunicorn. CI/CD with Jenkins GitHub Actions.",Python Developer
"Frontend developer with 4 years experience in React JavaScript. Built responsive web applications using React hooks Redux context API. Proficient in HTML CSS Bootstrap Tailwind. REST API integration with axios fetch. Git version control npm webpack.",Frontend Developer
"React developer skilled in building SPAs single page applications. Used React Router Redux Toolkit for state management. TypeScript for type safety. CSS modules styled components. Jest React Testing Library for unit tests. Agile development scrum.",Frontend Developer
"UI developer with experience in HTML CSS JavaScript React. Created pixel perfect responsive designs. Used Bootstrap Material UI component libraries. REST API integration. Git GitHub for version control. Basic knowledge of Node.js Express.",Frontend Developer
"Frontend engineer specializing in React Next.js. Built SEO friendly server side rendered applications. TypeScript Redux Saga for complex state. GraphQL Apollo client. CSS animations transitions. Performance optimization lazy loading code splitting.",Frontend Developer
"JavaScript React developer with TypeScript experience. Built dashboard applications with charts using recharts D3.js. REST API integration Redux for state management. CSS Grid Flexbox responsive design. Testing with Jest Enzyme.",Frontend Developer
"Data scientist with 3 years experience in machine learning deep learning. Proficient in Python scikit-learn TensorFlow PyTorch. Built classification regression clustering models. Data analysis with pandas numpy matplotlib seaborn. Experience with NLP text classification sentiment analysis.",Data Scientist
"ML engineer with expertise in building deploying machine learning models. Used scikit-learn XGBoost LightGBM for supervised learning. Deep learning with Keras TensorFlow. Feature engineering preprocessing pipelines. Model evaluation cross validation hyperparameter tuning.",Data Scientist
"Data scientist skilled in statistical analysis predictive modeling. Python R for analysis. Scikit-learn for machine learning. SQL for data extraction. Tableau Power BI for visualization. A/B testing hypothesis testing statistics.",Data Scientist
"Machine learning researcher with experience in NLP computer vision. Built transformer models BERT GPT fine tuning. OpenCV for image processing. PyTorch deep learning. Published research papers. Experience with Hugging Face datasets.",Data Scientist
"Data scientist with focus on business analytics. Python pandas SQL for data wrangling. Machine learning models for churn prediction fraud detection. Data visualization with matplotlib plotly. Experience with AWS SageMaker for model deployment.",Data Scientist
"Java developer with 5 years experience in Spring Boot microservices. Built enterprise applications using Spring MVC Spring Security Spring Data JPA. Hibernate ORM MySQL Oracle databases. RESTful web services. Maven Gradle build tools. JUnit Mockito testing.",Java Developer
"Senior Java engineer experienced in Spring Framework Spring Boot REST APIs. Microservices architecture with Docker Kubernetes. Message queues with Kafka RabbitMQ. MySQL PostgreSQL databases. Redis caching. CI/CD Jenkins pipeline. Agile methodology.",Java Developer
"Java backend developer with expertise in Spring Boot Spring Cloud. Built distributed systems microservices. Hibernate JPA for ORM. MySQL Oracle databases. Docker containerization Kubernetes orchestration. JUnit testing code coverage.",Java Developer
"Full stack Java developer with Spring Boot Angular experience. REST API development Spring Security JWT authentication. MySQL database Hibernate ORM. Maven build tool Git version control. Agile Scrum methodology Jira.",Java Developer
"Java developer specializing in enterprise applications. Spring Boot Spring MVC Spring Data. Microservices design patterns. Kafka for event streaming. PostgreSQL MySQL databases. Docker AWS deployment. Clean code SOLID principles design patterns.",Java Developer
"Database administrator with 6 years SQL experience. Expert in MySQL PostgreSQL Oracle SQL Server. Database design normalization indexing optimization. Stored procedures triggers views. Query performance tuning execution plans. Backup recovery high availability.",SQL Developer
"SQL developer with experience in complex query writing stored procedures. MySQL PostgreSQL database administration. ETL processes data warehousing. SSRS SSIS for reporting integration. Python for automation. Database design ER diagrams.",SQL Developer
"Data engineer with SQL Python skills. Built data pipelines ETL processes. PostgreSQL MySQL database optimization. Apache Spark for big data processing. AWS Redshift for data warehousing. dbt for data transformation. Airflow for workflow orchestration.",SQL Developer
"Business intelligence developer with SQL Tableau expertise. Complex SQL queries stored procedures. SSAS SSRS for analysis reporting. Data modeling star schema snowflake schema. ETL pipelines with SSIS. Python automation scripting.",SQL Developer
"Database developer with MySQL PostgreSQL Oracle experience. Wrote complex queries joins subqueries window functions. Stored procedures functions triggers. Index optimization query performance. Python Flask for backend API connecting to database.",SQL Developer
"DevOps engineer with 4 years experience in CI/CD pipelines automation. Expert in Docker Kubernetes container orchestration. Jenkins GitHub Actions GitLab CI for automation. AWS Azure cloud infrastructure. Terraform Ansible for infrastructure as code. Linux system administration.",DevOps Engineer
"Cloud engineer with AWS expertise. EC2 S3 RDS Lambda ECS services. Terraform for infrastructure as code. Docker containerization Kubernetes orchestration. Jenkins CI/CD pipelines. Python scripting automation. Monitoring with CloudWatch Prometheus Grafana.",DevOps Engineer
"Site reliability engineer SRE with Kubernetes Docker experience. Managed production clusters. Prometheus Grafana for monitoring alerting. ELK stack for logging. Terraform Helm for deployments. Python Go scripting. Incident management postmortem culture.",DevOps Engineer
"DevOps engineer skilled in automation infrastructure. AWS GCP cloud platforms. Docker Kubernetes deployment scaling. Ansible playbooks for configuration management. Jenkins GitLab CI pipelines. Bash Python scripting. Linux administration networking.",DevOps Engineer
"Platform engineer with expertise in cloud infrastructure DevOps. Kubernetes cluster management. Helm charts for application deployment. ArgoCD GitOps workflow. Terraform modules for AWS infrastructure. Prometheus Grafana monitoring dashboards. Python automation.",DevOps Engineer
"Android developer with 3 years experience in Kotlin Java. Built native Android apps published on Play Store. Android SDK Jetpack components ViewModel LiveData Room database. Retrofit REST API integration. Material Design UI. Git version control.",Mobile Developer
"iOS developer experienced in Swift SwiftUI UIKit. Built apps for iPhone iPad. Core Data for local storage. REST API networking URLSession Alamofire. Push notifications. App Store submission review process. Xcode instruments performance profiling.",Mobile Developer
"React Native developer with cross platform mobile experience. Built apps for Android iOS using React Native. Redux for state management. Native modules integration. Firebase for backend authentication real time database. App deployment Google Play App Store.",Mobile Developer
"Flutter developer with Dart experience. Built beautiful cross platform mobile apps. State management with Provider BLoC. REST API integration with Dio. Firebase Firestore authentication. Local storage SQLite Hive. Published apps on Play Store App Store.",Mobile Developer
"Full stack developer with 5 years experience in Node.js React. Built complete web applications backend with Express Node.js REST APIs MongoDB database. Frontend with React Redux. Authentication JWT OAuth. Docker deployment AWS. TypeScript for both frontend backend.",Full Stack Developer
"MERN stack developer MongoDB Express React Node.js. Built social media e-commerce applications. JWT authentication authorization. Redux state management. CSS Bootstrap Material UI. REST API design. Git agile development.",Full Stack Developer
"Full stack engineer Python Django React. Built SaaS applications from scratch. Django REST framework for API. React frontend Redux. PostgreSQL database. Celery for async tasks. Docker AWS deployment. Test driven development pytest.",Full Stack Developer
"Web developer experienced in Vue.js Laravel PHP full stack. REST API with Laravel. Vue.js Vuex for frontend. MySQL database Eloquent ORM. Docker nginx deployment. PHPUnit testing. Agile Scrum methodology.",Full Stack Developer
"AI engineer with experience in NLP computer vision deep learning. Built transformer models for text classification named entity recognition. Computer vision with YOLO OpenCV for object detection. PyTorch TensorFlow model training. MLflow for experiment tracking model registry.",AI Engineer
"Machine learning engineer with MLOps experience. Model training scikit-learn PyTorch. MLflow experiment tracking. Docker Kubernetes model deployment. REST API for model serving with FastAPI. Feature store data pipelines. A/B testing model monitoring.",AI Engineer
"NLP engineer specializing in large language models. Fine tuned BERT GPT models for downstream tasks. Hugging Face transformers datasets. Python PyTorch for deep learning. Text preprocessing tokenization. Deployed models with FastAPI Docker.",AI Engineer
"Computer vision engineer with deep learning experience. CNN architectures ResNet VGG EfficientNet. Object detection YOLO RCNN. Image segmentation semantic instance. Transfer learning fine tuning. OpenCV for image processing. PyTorch TensorFlow.",AI Engineer
